company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id
Fore Brain Technologies Private Limited,,4 - 6 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Opening @ L&T heavy Engg ""Desktop Application Developer"" Skill set: Application Development using VC++ and/or VC# Domain knowledge expected : Test Jig Development, Data Acquisition System, Usage of PC Add on Cards for DIO Salary:INR 3,75,000 - 5,50,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Application Development Heavy Engineering VC++ VC# Embbeded Desired Candidate Profile Please refer to the Job description above Company Profile: Fore Brain Technologies Private Limited FBT is an Software company mainly focuses and strongly believes in delivering quality services. We offer IT Infrastructure services such as consulting, implementation, on-site, off-shore, remote support to customers. Download PPT Photo 1   View Contact Details",71016003335,Bengaluru,Desktop Application Developer - Using VC++ / VC#,5.0,"3,75,000 - 5,50,000 P.A",2016-10-07 16:21:26 +0000,,IT Software - Application Programming,f3407fe71129eeb1f372f91c00854e99
Lakkho HR Consultants Private Limited,"UG: B.Sc - Hospitality and Hotel Management, Diploma - Hotel Management PG:Post Graduation Not Required Doctorate:Doctorate Not Required",1 - 5 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this Korean/Japanese Cuisine Expert. -To work as directed on station of assignment under appropriate Chef De Partie or Sous Chef or Kitchen in charge. -Set up station properly and on time for each service period. Salary:INR 3,00,000 - 4,50,000 P.A. Negotiable Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Hotels , Restaurants Role Category:Food & Beverage Role:Commis Keyskills Commi Commi 1 Commi 2 DCDP Korean Japanese Desired Candidate Profile Required expertise in Korean & Japanese Cuisines. Only apply when you can relocate at Kuwait. Please share your resume at lakkhohr1@gmail.com or call at 0755-4254291 Education- UG: B.Sc - Hospitality and Hotel Management, Diploma - Hotel Management PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: Lakkho HR Consultants Private Limited 5 star Hotel in Kuwait Download PPT Photo 1   View Contact Details",61016006043,"Patna, Lucknow, Bengaluru, Kochi, Chennai, Hyderabad, Kuwait, Dubai/ UAE","Commi 2/1 & DCDP Specialized in Korean/japanese Cuisine, Kuwait",5.0,"3,00,000 - 4,50,000 P.A. Negotiable",2016-10-06 16:21:26 +0000,,Hotels,53b7a58136e1fbe970497a6303b320f6
Amazon,UG: Any Graduate PG:Any Postgraduate,7 - 12 yrs,FMCG / Foods / Beverage,"Job Description   Send me Jobs like this Amazon is looking for a Sr. Manager, Vendor Management with proven experiences in thought leadership, detailed execution, and people development to build a strategic Consumables category. As the leader of the team, you will deliver exceptional growth in sales, free cash flow, and market segment share by providing recommendations into the strategic direction for the business and leading a diverse team to execute. The leader will be responsible for ensuring a well-articulated assortment strategy by geography and price point, building and expanding vendor relationships, improving margin, managing pricing, leading operational process improvements, and turn/ instock optimization for the various categories and vendors. The candidate will be responsible for leading two distinct teams: Vendor Management and In-Stock Management. The leader of this category will have a direct and important role in growing this category; experience in scaling new businesses, as well as recruiting, developing and motivating fast-growing teams is essential. As a leader of the team you will focus on delivering a world-class customer experience and exceptional sales and margin growth. The person who joins our team in this critical leadership position must share our passion and commitment. Key Skills and Responsibilities We are looking for an individual with leadership experience to drive this category through intensive growth. The ideal candidate will be naturally curious, have a high level of flexibility and commitment, and a strong drive to win. The ideal candidate will be a strong leader, great communicator and negotiator, and will have the business judgment and analytical horsepower to break down complex problems, the willingness to roll up his or her sleeves and a strong interest in Amazons retail business. Additionally, this leader will be strong at hiring & developing people, working with senior leaders at Vendors and Suppliers in areas such as strategic planning and contract negotiations, and have excellent verbal and written communication skills. The successful candidate will be entrepreneurial, innovative, and excel at thinking big, while also recognizing the need to coordinate his or her teams activities within the established structure of a large, fast-growing company. Defining and implementing long term business strategies based on industry trends and competitive analysis and the ability to think outside of the box to solve complex problems are key to success. In the first year the candidate will deliver top and bottom line growth as established by senior leadership, improve the customer experience through assortment planning and instock management, and mentor and develop top talent and build a strong leadership team. Demonstrated ability to take ownership and drive resultsStrong business judgment with a track record of successful negotiations and overall relationship management. Strong inclination to Get Hands Dirty in building organizational capability for a new businessDeep understanding of the category nuances (sourcing, instock management, expiry management, Safety measures, Quality metrics)Ability to think strategically and tactically, with excellent attention to detailExperience defining and delivering innovative ideas to drive long term resultsTenacity to develop ideas independently and thrive in a fast-paced start-up environmentProven analytical thinking, project management skills, attention to detail and exceptional organizational skills are essentialCandidate must be fluent in EnglishMBA from Top Business Schools is preferred Experience communicating complex business concepts in verbal and written form. Consumables experience preferred Proven ability to work in ambiguous situations Excellent communication (verbal and written) and collaboration skills that enable you to earn trust at all levels. Superior analytical skills. Demonstrated ability to identify and solve ambiguous problems. In particular, identifying customer needs and inventing new ways to meet those needs Extreme attention to detail and willingness to roll up your sleeves. Online experience preferred. Proven experience leading teams & cross-functional projects. Salary: Not Disclosed by Recruiter Industry: FMCG / Foods / Beverage Functional Area: Strategy , Management Consulting , Corporate Planning Role Category:Senior Management Role:Head/VP/GM-Corporate Planning/Strategy Keyskills Fruits and Vegetables Procurement Desired Candidate Profile   Education- UG: Any Graduate PG:Any Postgraduate Company Profile: Amazon Many of the problems we face have no textbook solution, and so we-happily-invent new ones. Jeff Bezos, 2010 Shareholder letter. Amazon. com a place where builders can build. We hire the worlds brightest minds and offer them an environment in which they can invent and innovate to improve the experience for our customers. A Fortune 100 company based in Seattle, Washington, Amazon is the global leader in e-commerce. Amazon offers everything from books and electronics to apparel and diamond jewelry. We operate sites in Canada, China, France, Germany, Italy, Japan, Spain, United Kingdom and United States, and maintain dozens of fulfillment centers around the world which encompass more than 26 million square feet. Technological innovation drives the growth of Amazon, offering our customers more selection, convenient shopping, and low prices. Amazon Web Services provides developers and small to large businesses access to the horizontally scalable state of the art cloud infrastructure like S3, EC2, AMI, CloudFront and SimpleDB, that powers Amazon. com. Developers can build any type of business on Amazon Web Services and scale their application with growing business needs. We want you to help share and shape our mission to be Earths most customer-centric company. Amazons evolution from Web site to e-commerce partner to development platform is driven by the spirit of invention that is part of our DNA. We do this every day by inventing elegant and simple solutions to complex technical and business problems. Were making history and the good news is that weve only just begun. Join us in this revolution! Amazon teams in India work on complex technology challenges to innovate and create efficient solutions that enable various Amazon businesses, including Amazon websites across the world as well as support Payments, Transportation, and Digital products and services like the Kindle family of tablets, e-readers and the store. We are proud to have some of the finest Engineering Talent, Machine Learning Scientists, Product Visionaries and Strong Leaders with proven experience working to make Amazon the Earths most customer-centric company. We made our foray into the Indian market with the launch of Junglee. com, enabling retailers in India to advertise their products for free to millions of Indian shoppers and drive targeted traffic to their stores. In 2013, we launched www. amazon. in for shoppers in India. With www. amazon. in, we endeavor to give customers more of what they want low prices, vast selection, fast and reliable delivery, and a trusted and convenient online shopping experience. We will continue to strive to become a trusted and meaningful sales and logistics channel for retailers of all sizes across India. For us it is always Day 1 and we will relentlessly focus on expanding selection and raising the bar for customer experience in India. Amazon India offers opportunities where you can dive right in, work with smart people on challenging problems and make an impact that contributes to the lives of millions. Join us so you can Work Hard, Have Fun and Make History. Download PPT Photo 1   View Contact Details",71016900177,Bengaluru,"Senior Manager, Vendor Management",,Not Disclosed by Recruiter,2016-10-07 16:21:26 +0000,,Strategy,82cefffd6019850ed350b2e75122a095
Ecentric Solutions Pvt. Ltd.,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,5 - 10 yrs,Recruitment / Staffing,"Job Description   Send me Jobs like this Oracle Apps Finance Technical Consultant Experience: Min 5 years - 15 years Shift : Rotational Shifts Including Night Shift Work Location : Bangalore Need to be available for F2F on weekdays with one / two days prior update in Bangalore. Notice: Not more than 15-30 Days * Contact Number 1: * Contact Number 2 (Please dont share same Mob No): * Email Id: * Current Location * Skype ID: * Notice Period * Willing to work on eCentricHR Payroll * CTC : * ECTC: * Total Experience: * Pan Card : * Date of birth : * Qualification : * Relevant Experience as * On which company payroll your working: * Strong reason for why you Looking change: Salary: Not Disclosed by Recruiter Industry: Recruitment / Staffing Functional Area: IT Software - ERP , CRM Role Category:System Design/Implementation/ERP/CRM Role:Outside Technical Consultant Keyskills Oracle Apps Oracle apps Finance Technical Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Ecentric Solutions Pvt. Ltd. Ecentric Solutions Pvt. Ltd. Download PPT Photo 1   View Contact Details",71016900964,Bengaluru,Oracle apps Finance Technical Consultant,,Not Disclosed by Recruiter,2016-10-07 16:21:26 +0000,,IT Software - ERP,155b48d9117ab195704810bb2a55a0f2
ANRI SOLUTIONS HR SERVICES PVT LTD,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,4 - 9 yrs,Other,"Job Description   Send me Jobs like this Hi all , We areHiring for Cyber Security - VAPT for Big 4 for AM / DM / Mgr About Valuations: Cyber Risk Deloitte Cyber Risk Services adopting a Secure, Vigilant and Resilient approach offers Managed Security & Vulnerability Services through its Cyber Intelligence Center (CIC). Our offerings include Cyber Security Threat Intelligence to Security Analytics Services, and Security Infrastructure Management to Vulnerability Management. Services. Core Skills - Subject matter specialist in multiple Cyber Threat Management domains - Extensive experience in leveraging industry standards and frameworks such as OWASP, CIS, NIST, ISO/IEC 17799, ISO/IEC 27001, etc. - Experience in leading multiple client engagements in multiple Cyber Threat Management domains - Experience in leading and executing multiple Cyber Security Strategy engagements and building Cyber Threat and Vulnerability management programs for organizations - Experience in operationalizing the solutions implemented (e.g. ArcSight Implementation experience and operationalizing Security Monitoring and Security Operations post Implementation) - Emerging Technologies - Eminence initiatives to industry like Cloud Security, Mobile Security, Data Analytics, Cyber Forensics, Cyber Risk Sciences etc. - Cyber Threat, Vulnerability and Risk Assessment - Ability to identify business implications and identifying tactical and strategic recommendations to mitigate the risk. - Experience in managing multiple Cyber Threat Management projects including technical and strategy projects. - Substantial experience in architecting technology solutions in the Cyber Threat Management space - Ability to define the business & technical scope of a project. Should be able to independently lead delivery teams to deliver projects according to client specifications after such scope is defined Additional Skills - Strong communication skills (written & verbal) - Demonstrates knowledge of one or more industry or functional area - Demonstrates ability to develop and review technical reports and develop and deliver presentations - Strong project management skills - Demonstrates a general knowledge of market trends, competitor activities, firm products and service lines - Membership and visibility in professional & civic organizations Certifications - CISSP, CISM, CISA, ABCP or CBCP certification - Prior big 4 or consulting experience Educational Qualification: B.E / B.Tech (Tier 1/2) in Computer Science, Information Technology or related fields Thanks & Regards Preeti Sharma 7827733391 preeti.sharma@anrisolutions.com Salary: Not Disclosed by Recruiter Industry: Other Functional Area: Other Role:Other Keyskills VAPT Vulnerability Assesment Pentration Testing Cyber Security Cloud Security PMP Cyber Intelligence Center Ethical hacking Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Company Profile: ANRI SOLUTIONS HR SERVICES PVT LTD ANRI Solutions HR Services Pvt. Ltd. is a Delhi based leading employment expert, offering a full range of options to help businesses and individuals choose their way in the contemporary world of work. We employ large number of people every day through a network of our employees providing effective staffing for our esteemed clients. Download PPT Photo 1   View Contact Details",61016006053,Bengaluru Bangalore,Am/dm/mgr - Cyber Security - VAPT,,Not Disclosed by Recruiter,2016-10-06 16:21:26 +0000,,,2c991e2d5cda195bc93f33f598a054f8
Madox Technologies Pvt. Ltd.,"UG: B.Tech/B.E. - Electrical, Electronics/Telecommunication, Diploma - Electrical, Electronics/Telecommunication PG:Post Graduation Not Required Doctorate:Doctorate Not Required",4 - 6 yrs,Other,"Job Description   Send me Jobs like this Electronics Hardware Design, Development, Testing. Experience on soldering of electronics components. Documentation skills like preparation of test cases, test plan and test results report. Salary: Not Disclosed by Recruiter Industry: Other Functional Area: Other Role:Other Keyskills Design Engineering Hardware Design Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Electrical, Electronics/Telecommunication, Diploma - Electrical, Electronics/Telecommunication PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: Madox Technologies Pvt. Ltd. Madox Technologies is an engineering and manufacturing solution company. We provide Automation and engineering solutions to DCS & PLC related applications. Download PPT Photo 1   View Contact Details",71016000963,Bengaluru,Hardware Design Engineer (6 Months to 1 year Contract),1.0,Not Disclosed by Recruiter,2016-10-07 16:21:26 +0000,,,613e3f4200fb601cb32a638b0f57be6f
Magna Infotech,UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required,0 - 3 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Openings for Voice Process English and Hindi Bangalore Immediate Openings for Customer Support Role: Customer Support Location: Bangalore Exp: Experienced Depends on your last CTC Gender : Male / Female Shift : Day shift Timings : 7Am to 4PM 11Am to 8PM Candidates waiting for results also can apply. Skills & Eligibility Criteria:- Under Graduates Graduate(from any educational stream). Good communication skills in English and Hindi Job Description Providing excellent customer service support to customers during every single interaction Assisting end users to avoid or reduce problem occurrences Taking client system on remote and resolving the issue Escalation and reproduction of Customers issues for the development team Should be well-informed about Computer and its Hardware Should be customer-service oriented. Neutral accent in communication. Should be willing to work in Voice Based process. Salary: Not Disclosed by Recruiter Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Customer Support Executive Customer Support customer service Voice Process Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required Company Profile: Magna Infotech Magna Infotech Pvt Ltd Download PPT Photo 1   View Contact Details",71016900863,Bengaluru,Customer Support Executive - Voice Process,70.0,Not Disclosed by Recruiter,2016-10-07 16:21:26 +0000,,ITES,185cf3914105beb1db1670450002ab0a
Confidential hiring for CMM Level 5,,3 - 5 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Experience: 3-5Yrs, Location: Bangalore, Skills. * Core Java (Mandatory) * JavaScript * Enterprise Platforms Engineering * Google Window Toolkit - GWT Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Core Java Desired Candidate Profile Please refer to the Job description above Company Profile: Confidential CMM Level 5 Confidential Download PPT Photo 1   View Contact Details",90716002054,Bengaluru,Core java -enterprise Platform,2.0,Not Disclosed by Recruiter,2016-10-07 16:21:26 +0000,,IT Software - Application Programming,529431a38cdc525a0162ea0babaa0c06
Bob Technologies,"UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers Doctorate:Doctorate Not Required",3 - 6 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this JD:Required Skills : Good programming skills on C/C++ and OOPS concepts. Telecom background with knowledge on SIP, VoIP, IMS, TCIP/IP. Very strong programming concepts in C and Unix/Linux/Solaris with good understanding on data structures, algorithms & design patterns, Unix/Linux programming. Strong debugging skills with expertise on tools like gdb, Wireshark, Valgrind, Purify, Coverity and various memory management tools. Experience of SIP signaling and understanding of SDP. Basic experience in DIAMETER Good to Have: Knowledge of Session Border Controller. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills Software Engineer senior Software Engineer tech lead Unix design patterns Linux programming C C++ Desired Candidate Profile Qualification: B.E, B.Tech, M.E, M.Tech, MCA Education- UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers Doctorate:Doctorate Not Required Company Profile: Bob Technologies Bob Technologies Download PPT Photo 1   View Contact Details",61016900749,Bengaluru,Software Engineer /senior Software Engineer /lead- Engineering,,Not Disclosed by Recruiter,2016-10-07 16:21:26 +0000,,IT Software - Application Programming,333ecdf2871b546e92fc58104931df81
IZEE MANPOWER CONSULTANCY PRIVATE LIMITED,"UG: Other Graduate, B.Tech/B.E. - Any Specialization, B.B.A / B.M.S - Management, B.Com - Commerce, B.Sc - Any Specialization, Diploma - Any Specialization, B.A - Any Specialization, BCA - Computers, B.Ed - Education, BHM - Hotel Management PG:Other, PG Diploma - Any Specialization",1 - 6 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Warm Greetings From Izee manpower Dear Candidates, we are hiring for our current openings into Top MNC's for voice process with Sal upto 5.5LPA.. Qualification: 10+2/10+3 with minimum 6months exp in iccv Technical process Hotel Reservation process Salary:INR 2,00,000 - 4,50,000 P.A. + Incentives Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Customer Service Operations Technical Services Bpo Hiring BPO ITES Technical Support IT Help Desk international voice Desired Candidate Profile Please refer to the Job description above Education- UG: Other Graduate, B.Tech/B.E. - Any Specialization, B.B.A / B.M.S - Management, B.Com - Commerce, B.Sc - Any Specialization, Diploma - Any Specialization, B.A - Any Specialization, BCA - Computers, B.Ed - Education, BHM - Hotel Management PG:Other, PG Diploma - Any Specialization Company Profile: IZEE MANPOWER CONSULTANCY PRIVATE LIMITED IZee Manpower is a leading , professional organization servicing a host of fortune 500 clients across verticals and training expertise in soft skills communication and personality development Download PPT Photo 1   View Contact Details",71016001293,Bengaluru,"Call Center,international Bpo,voice Process Call Ranjitha",,"2,00,000 - 4,50,000 P.A. + Incentives",2016-10-07 16:21:26 +0000,,ITES,abe4fddfef713bc6c7f557bf13410fe4
CIEL HR Services Pvt Ltd hiring for Client,,0 - 1 yrs,Pharma / Biotech / Clinical Research,"Job Description   Send me Jobs like this Hi, Greeting From Ciel HR Service pvt ltd. We have hiring for BDE sales for pharmacy Bangalore & Hyderbad  Number of positions :- 10 Location :- Bangalore & Hyderbad Designation   :- BDE Sales  Exp :- 1 Years in any pharmacy sales mandatory  Salary ;- upto 2.2 lk to 2.5 lk PA Interview Date :- 8/10/2016  If your interview please share your update profiles  basavaraja@cielhr.com Thanks Regards, Basavaraja Asst. Manager Talent acquisition Ciel HR Services Pvt Ltd, 646, 27th Main, Sector I, HSR Layout, Bangalore Salary:INR 1,50,000 - 2,25,000 P.A. TA & DA Industry: Pharma / Biotech / Clinical Research Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Medical Representative Keyskills Bde Sales Hiring Sales executive Direct Marketing medical sales Desired Candidate Profile Please refer to the Job description above Company Profile: CIEL HR Services Pvt Ltd Client Thanks Regards, Basavaraja Asst. Manager Talent acquisition Ciel HR Services Pvt Ltd, 646, 27th Main, Sector I, HSR Layout, Bangalore Download PPT Photo 1   View Contact Details",61016006660,"Bengaluru, Hyderabad",Sales BDE for Pharmacy Industry Urgent Requirements,15.0,"1,50,000 - 2,25,000 P.A. TA & DA",2016-10-06 16:21:26 +0000,,Sales,d7d1409cdc10a4554ea1d6c9650d00b6
Net Connect Pvt Ltd hiring for Automation Engineer,UG: Any Graduate - Any Specialization,4 - 9 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Deep experience in using Selenium Hands-on experience in developing test frameworks OR web based products Well versed in testing & preparing test cases for internet applications using Python/Java server side web development & front end architecture Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Testing Engineer Keyskills API testing Automation testing framework development REST soap UI CRUD operations HTTP methods TFS MTM Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization Company Profile: Net Connect Pvt Ltd Automation Engineer Net Connect is a leader, identified for quality performance adhering to professional ethics and integrated approach. Enhancing the productivity through enhanced quality and efficiency, enabling our customers to concentrate on their core business Download PPT Photo 1   View Contact Details",41016006530,Bengaluru,Test Automation Engineer,,Not Disclosed by Recruiter,2016-10-06 16:21:26 +0000,,IT Software - Application Programming,ebcc89731d75a24b44274d2262fc5258
Confidential,,6 - 10 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this We have a challenging career opportunity for Core Java Developers along with Front end development with one of the Leading  CMM5 Company , to be based at Bangalore & Chennai Position: JAVA Developer with Angular JS & Front-end Development Technologies Skill: Java, Spring, Restful, HTML5, CSS3, AngularJS(Mandatory) Experience:  6.5 - 10 Years Interview Location : Bangalore Job Locations:  Bangalore & Chennai For more information, please get in touch with me on +91-422-4545-630. gayathri.p@enterpriseits.com Looking forward to hear from you NOTE: Only for Quick Joiners upto 30 Days Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Core Java Spring Javascript Front End IT Services Html css restful Desired Candidate Profile   Company Profile: Confidential Confidential Download PPT Photo 1   View Contact Details",60716005511,"Bengaluru, Chennai",Immediate Oppening for Java Developer with Front End Development,4.0,Not Disclosed by Recruiter,2016-10-07 16:21:26 +0000,,IT Software - Application Programming,6a69285ec42df4441d15e2a6dd8d7f85
Anush Consultants,UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required,2 - 4 yrs,Medical / Healthcare / Hospitals,Job Description   Send me Jobs like this Grooming Clients Evaluating an individuals treatment for hair problems and recommending a treatment. Colouring of eyelashes. Salary: Not Disclosed by Recruiter Industry: Medical / Healthcare / Hospitals Functional Area: Other Role:Other Keyskills Beautician treatment Colouring Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required Company Profile: Anush Consultants Anush Consultants Download PPT Photo 1   View Contact Details,61016901919,"Ahmedabad, Bengaluru",Beautician,,Not Disclosed by Recruiter,2016-10-06 16:21:26 +0000,,,98e9f394fd6ba462d6c818e668ce8197
Smile Security and Surveillance Pvt Ltd,"UG: B.B.A / B.M.S - Management, B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required",3 - 7 yrs,Security / Law Enforcement,"Job Description   Send me Jobs like this Responsible for creating sales for the company thru recruitment of channels Responsible for maintaining excellent relationship with resellers and channels Responsible for all communication of all channel activities with resellers/ channels Acquire in depth knowledge of our network security appliance products and solution offerings Deliver corporate presentations and software demonstrations. Monitor and report on all sales activities and targeted pipelines Achieve channel sales target set Responsible for designing market plans to improve the market share of the company. Responsible for Training resellers/channels how to effectively sell our company products. Develop training materials, create presentation for resellers/channels To actively manage the sales pipeline including creation of contact lists, cold calling the customers, sending proposals and managing the sales pipeline. Work closely with the customer base to ensure they are successful using our solutions, making sure they have the technical resources required & understand the technical requirements of our customers and work closely with the internal team to guide the direction of offerings. Prepare and give business reviews to the management team regarding progress and problems in closing new customers/channels. Salary: Negotiable for deserving candidate Industry: Security / Law Enforcement Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales/Business Development Manager Keyskills Channel Sales Cold Calling Networking Recruitment Corporate Presentations Development Management Network Security Channel Manager Desired Candidate Profile Desired profile of the candidate: Bachelors Degree / business administration advantageous. Minimum of 3-7 years in a business development role. Must be fluent in English. Must possess a strong track record within the field and have a network of local clients. Relationship building, communication skills and selling ability essential. Must possess a comprehensive range of business skills. Desired work experience: 3 to 7 yrs relevant exp.Education: BE/ BBA/ MBA/ PGDMBachelors Degree / business administration advantageous Education- UG: B.B.A / B.M.S - Management, B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required Company Profile: Smile Security and Surveillance Pvt Ltd Smile Security and Surveillance Pvt. Ltd. (SSSPL) have been providing specialised network security, Secure VPN connectivity and video surveillance solutions that are easy to use, easy to deploy and provide proactive protection to organizations of varied sizes for over a decade. Company has two business divisions, AnexGATE and AnexSECURE. In AnexGATE business division, we are the designers, manufacturers, system solution integrators of scalable network security and secure connectivity solutions based on ANEXGATE brand APPLIANCES for businesses in every major market segment. In AnexSECURE Business division, we perform as a high end system integrator for Security Surveillance and related technologies for providing high level security to our customer property, material and people. Websites for reference: www.anexgate.com, www.anexsecure.com Download PPT Photo 1   View Contact Details",61016901841,Bengaluru,Channel / Biz. Development Manager,,Negotiable for deserving candidate,2016-10-06 16:21:26 +0000,,Sales,b4e51b3f46dede94f6cdb329379198e3
Dream Jobz Consulting,,2 - 7 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this Opening for Commi/CDP/DCDP/Jr Sous Chef and Sous Chef in Restaurant chain for Hyderabad/Chennai and Bangalore Location. Interested candidates can share resume on hrd1@dreamjobz.co.in Regards, Nazia 9234577404 Salary:INR 1,00,000 - 4,50,000 P.A. Tips+service Charges Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Hotels , Restaurants Role Category:Food & Beverage Role:Sous Chef Keyskills commii DCDP CDP Sous chef Jr Sous Chef Indian chef chef de partie junior sous chef head chef Desired Candidate Profile Opening for Commi/CDP/DCDP/Jr Sous Chef and Sous Chef in a Restaurant chain for Hyderabad, Chennai and Bangalore Location. Interested candidates can share resume on hrd1@dreamjobz.co.in Regards, Nazia 9234577404 Company Profile: Dream Jobz Consulting Dream Jobz Consulting is a Consulting firm specialized in Recruitment, Training & Background Screening. We provide manpower to organizations right from junior level to senior level positions. Download PPT Photo 1   View Contact Details",71016003705,"Bengaluru, Chennai, Hyderabad",Opening for Kitchen Department in Restaurant Chain_hyderabad/chennai,,"1,00,000 - 4,50,000 P.A. Tips+service Charges",2016-10-07 16:21:26 +0000,,Hotels,7abe8f5153e4b75acfd7e552ae02455a
ANRI SOLUTIONS HR SERVICES PVT LTD hiring for BIG 4,UG: Any Graduate - Any Specialization PG:CA,5 - 10 yrs,Strategy / Management Consulting Firms,"Job Description   Send me Jobs like this Designation :- Manager (Assurance / AQM / FAAS)                             Sr. Manager (AQM / FAAS / Assurance) Industry :- BIG 4 Location :- Chennai / Gurgaon / Bangalore Requirement :- Post Qualification experience should be 5+ yrs in BIG 4.  Manager Assurance - Open in Gurgaon, Bangalore, Chennai, Mumbai Manager AQM - Open in Gurgaon, Bangalore  Manager FAAS - Open in Gurgaon, Bangalore Senior Manager FAAS - Open in Gurgaon, Bangalore Senior Manager Assurance - Open in Mumbai Shambhavi (9555845500) Salary:INR 20,00,000 - 35,00,000 P.A Industry: Strategy / Management Consulting Firms Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category:Finance/Audit Role:Audit Manager Keyskills statutory audit external audit offshore audit onshore audit stat audit Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:CA Company Profile: ANRI SOLUTIONS HR SERVICES PVT LTD BIG 4 ANRI HR Services Pvt. Ltd. Download PPT Photo 1   View Contact Details",71016002704,"Bengaluru, Mumbai, Chennai, Gurgaon",Requirement OF Manager/ Sr. Manager IN BIG 4,,"20,00,000 - 35,00,000 P.A",2016-10-07 16:21:26 +0000,,Accounts,315f3127a7f8029d3b7853b57b503381
