Raw Skill,Normalized Skill,Category
adf,Azure Data Factory,Cloud
azure data factory,Azure Data Factory,Cloud
Azure Data Factory,Azure Data Factory,Cloud
git,Git,DevOps
Git,Git,DevOps
github,GitHub,DevOps
GitHub,GitHub,DevOps
gitlab,GitLab,DevOps
GitLab,GitLab,DevOps
docker,Docker,DevOps
Docker,Docker,DevOps
k8s,Kubernetes,DevOps
kubernetes,Kubernetes,DevOps
Kubernetes,Kubernetes,DevOps
jenkins,Jenkins,DevOps
Jenkins,Jenkins,DevOps
terraform,Terraform,DevOps
Terraform,Terraform,DevOps
ansible,Ansible,DevOps
Ansible,Ansible,DevOps
natural language processing,Natural Language Processing,AI/NLP
NLP,Natural Language Processing,AI/NLP
transformer,Transformers,AI/NLP
Transformers,Transformers,AI/NLP
bert,BERT,AI/NLP
BERT,BERT,AI/NLP
gpt,GPT,AI/NLP
generative pre-trained transformer,GPT,AI/NLP
GPT,GPT,AI/NLP
huggingface,Hugging Face,AI/NLP
hugging face,Hugging Face,AI/NLP
Hugging Face,Hugging Face,AI/NLP
spacy,spaCy,AI/NLP
spaCy,spaCy,AI/NLP
nltk,NLTK,AI/NLP
NLTK,NLTK,AI/NLP
langchain,LangChain,AI/NLP
LangChain,LangChain,AI/NLP
cyber security,Cybersecurity,Cybersecurity
Cybersecurity,Cybersecurity,Cybersecurity
network security,Network Security,Cybersecurity
Network Security,Network Security,Cybersecurity
ethical hacking,Ethical Hacking,Cybersecurity
Ethical Hacking,Ethical Hacking,Cybersecurity
pentesting,Penetration Testing,Cybersecurity
penetration testing,Penetration Testing,Cybersecurity
Penetration Testing,Penetration Testing,Cybersecurity
wireshark,Wireshark,Cybersecurity
Wireshark,Wireshark,Cybersecurity
"basic computer, computer knowledge",Basic Computer Knowledge,Computer
Basic Computer Knowledge,Basic Computer Knowledge,Computer
computer fundamentals,Computer Fundamentals,Computer
Computer Fundamentals,Computer Fundamentals,Computer
"microsoft office, ms office",MS Office,Office Tools
MS Office,MS Office,Office Tools
"microsoft word, ms word",MS Word,Office Tools
MS Word,MS Word,Office Tools
"microsoft powerpoint, ms powerpoint",PowerPoint,Office Tools
PowerPoint,PowerPoint,Office Tools
"internet knowledge, internet",Internet,Computer
Internet,Internet,Computer
"email handling, email management",Email Handling,Computer
Email Handling,Email Handling,Computer
"dataentry, data entry operator",Data Entry,Data Entry
Data Entry,Data Entry,Data Entry
"typing, english typing",Typing,Data Entry
Typing,Typing,Data Entry
english typing,English Typing,Data Entry
English Typing,English Typing,Data Entry
data collection,Data Collection,Data Entry
Data Collection,Data Collection,Data Entry
data processing,Data Processing,Data Entry
Data Processing,Data Processing,Data Entry
"customer support, customer care",Customer Service,Customer Service
Customer Service,Customer Service,Customer Service
customer support,Customer Support,Customer Service
Customer Support,Customer Support,Customer Service
business process outsourcing,BPO,BPO
BPO,BPO,BPO
knowledge process outsourcing,KPO,BPO
KPO,KPO,BPO
"call centre, call center",Call Center,BPO
Call Center,Call Center,BPO
operations management,Operations,Operations
Operations,Operations,Operations
english language,English,Language
English,English,Language
tamil language,Tamil,Language
Tamil,Tamil,Language
hindi language,Hindi,Language
Hindi,Hindi,Language
communication skills,Communication,Soft Skill
Communication,Communication,Soft Skill
PHP,php,Programming
php,php,Programming
ml,Machine Learning,Machine Learning
Machine Learning,Machine Learning,Machine Learning
deep learning,Deep Learning,Machine Learning
Deep Learning,Deep Learning,Machine Learning
data science,Data Science,Data Science
Data Science,Data Science,Data Science
nlp,Natural Language Processing,NLP
Natural Language Processing,Natural Language Processing,NLP
"cv, computer vision",Computer Vision,Machine Learning
Computer Vision,Computer Vision,Machine Learning
ai,Artificial Intelligence,AI
Artificial Intelligence,Artificial Intelligence,AI
data analysis,Data Analysis,Data Analytics
Data Analysis,Data Analysis,Data Analytics
